PHASE,CAT,NAME,OPP,PTS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,FO,TO,STL,BLK,+/-,EFF,RES
quarter,Single,Argentina,Australia,59,23,68,0.34,15,38,0.4,8,30,0.27,5,6,0.83,12,24,36,13,19,17,5,0,-38,49,0
Group+Quarter,Average,Argentina,AllOpp,82,31,73,0.42,21,41,0.51,9,32,0.288,12,14,0.808,12,26,38,18,21,16,8,1,-12,84,0.25
Group+Quarter,Average,Australia,AllOpp,89,33,71,0.46,20,39,0.52,13,31,0.4,12,14,0.823,13,27,40,26,17,13,10,2,18,109,1
Group,Average,Czech Republic,AllOpp,82,33,67,0.493,25,45,0.563,7,22,0.37,9,16,0.573,10,22,33,23,14,16,10,2,-16,92,0.333
Group+Quarter,Average,France,AllOpp,86,32,64,0.5,23,39,0.59,9,25,0.363,13,17,0.785,11,32,42,23,21,16,8,2,13,105,1
Group+Quarter,Average,Germany,AllOpp,82,29,63,0.45,16,31,0.51,13,32,0.395,12,15,0.828,11,25,36,16,17,17,6,1,-10,83,0.25
Group,Average,Iran,AllOpp,69,26,63,0.403,19,42,0.44,7,21,0.333,10,16,0.623,9,26,34,18,16,20,7,2,-26,65,0
Group+Quarter,Average,Italy,AllOpp,83,29,68,0.43,20,38,0.515,10,30,0.318,15,17,0.838,10,25,35,17,18,9,9,3,2,92,0.5
Group,Average,Japan,AllOpp,78,30,73,0.417,21,45,0.453,10,28,0.343,8,11,0.78,9,25,35,17,17,11,5,4,-22,78,0
Group,Average,Nigeria,AllOpp,77,28,63,0.433,16,34,0.473,12,29,0.383,10,17,0.583,7,28,35,16,23,20,11,5,-11,78,0
Group+Quarter,Average,Spain,AllOpp,84,31,67,0.468,21,37,0.563,10,30,0.335,12,16,0.768,9,30,39,18,21,14,6,4,0,96,0.5
Group+Quarter,Average,Slovenia,AllOpp,106,38,75,0.5,23,37,0.63,15,39,0.378,16,22,0.745,15,36,51,22,21,13,7,3,21,127,1
Group+Quarter,Average,USA,AllOpp,103,37,73,0.503,22,37,0.595,16,36,0.423,13,16,0.79,9,27,36,27,20,9,10,5,24,129,0.75
